dataset,repeat,fold,split,seed,train_size,test_size,test_acc,test_bacc,test_macro_f1,n_rules,enh_depth,enh_total_nodes,enh_time,fold_total_time
semg,1,4,4,2029,720,180,0.866666667,0.868055556,0.862857143,60,19,160,1.033552914,1.281705406
semg,1,5,5,2030,720,180,0.9,0.898148148,0.89630009,50,20,165,0.978104059,1.195961885
semg,2,1,6,2031,720,180,0.922222222,0.923611111,0.919683835,60,17,112,0.788120064,0.977814641
semg,2,2,7,2032,720,180,0.866666667,0.861111111,0.861111111,60,12,12,0.370573618,0.455495033
semg,2,3,8,2033,720,180,0.877777778,0.87962963,0.874285714,60,17,52,0.577255961,0.69444541
semg,2,4,9,2034,720,180,0.855555556,0.849537037,0.849537037,60,13,13,0.470119896,0.556642384
semg,2,5,10,2035,720,180,0.883333333,0.891203704,0.881038552,60,18,147,1.022034289,1.243086135
semg,3,1,11,2036,720,180,0.85,0.849537037,0.845414931,60,19,73,0.611029321,0.764133526
semg,3,2,12,2037,720,180,0.844444444,0.835648148,0.837188267,60,17,17,0.465324526,0.556896009
semg,3,3,13,2038,720,180,0.888888889,0.893518519,0.886133603,60,16,129,1.027617055,1.230054677
semg,3,4,14,2039,720,180,0.822222222,0.819444444,0.816420194,60,14,14,0.562106776,0.653919086
semg,3,5,15,2040,720,180,0.838888889,0.840277778,0.83459552,55,10,10,0.450493403,0.518798806
semg,4,1,16,2041,720,180,0.888888889,0.888888889,0.885262621,60,18,104,0.722312852,0.896979838
semg,4,2,17,2042,720,180,0.816666667,0.8125,0.810290313,60,6,6,0.141094,0.213248324
semg,4,3,18,2043,720,180,0.944444444,0.946759259,0.942631311,60,18,18,0.470043796,0.561232146
semg,4,4,19,2044,720,180,0.838888889,0.837962963,0.833964185,60,16,16,0.469045355,0.553464833
semg,4,5,20,2045,720,180,0.855555556,0.856481481,0.851428571,60,18,69,0.612550038,0.75123678
semg,5,1,21,2046,720,180,0.844444444,0.847222222,0.840587045,60,14,14,0.463700763,0.551363927
semg,5,2,22,2047,720,180,0.855555556,0.844907407,0.848051948,60,20,133,0.796950649,1.006889207
semg,5,3,23,2048,720,180,0.877777778,0.877314815,0.873788883,60,19,19,0.479871968,0.574926535
semg,5,4,24,2049,720,180,0.905555556,0.909722222,0.903038753,60,20,165,1.002932523,1.257986172
semg,5,5,25,2050,720,180,0.833333333,0.833333333,0.828571429,55,9,9,0.452098653,0.52334601
warpAR10P (1),1,1,1,2026,104,26,0.923076923,0.933333333,0.921428571,60,0,0,0.011867459,0.040004715
warpAR10P (1),1,2,2,2027,104,26,0.884615385,0.9,0.891428571,50,0,0,0.010997287,0.037767468
warpAR10P (1),1,3,3,2028,104,26,0.884615385,0.9,0.881428571,55,0,0,0.011305207,0.037140545
warpAR10P (1),1,4,4,2029,104,26,0.807692308,0.816666667,0.801428571,55,0,0,0.011369827,0.036924173
warpAR10P (1),1,5,5,2030,104,26,0.884615385,0.9,0.885714286,60,0,0,0.0114799,0.037440714
warpAR10P (1),2,1,6,2031,104,26,0.884615385,0.9,0.895,55,3,3,0.038038176,0.066293129
warpAR10P (1),2,2,7,2032,104,26,0.923076923,0.916666667,0.918095238,50,1,5,0.038684346,0.068550169
warpAR10P (1),2,3,8,2033,104,26,0.961538462,0.966666667,0.96,50,0,0,0.010723279,0.0364097
warpAR10P (1),2,4,9,2034,104,26,0.923076923,0.916666667,0.918095238,55,2,2,0.025537216,0.053009038
